frame,blob_id,area,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y
125,1,733,485,256,42,41,503.62346521145975,271.6493860845839
126,1,603,487,256,37,43,503.0480928689884,271.80928689883916
127,2,411,505,187,23,34,514.7834549878346,200.05596107055962
128,2,719,511,166,25,54,522.3240611961057,195.13630041724616
129,4,783,513,167,26,54,523.4674329501916,191.97445721583654
130,2,1334,502,89,68,51,544.0569715142428,110.37856071964018
131,2,584,512,89,39,24,527.6078767123288,98.8013698630137
131,3,384,535,125,27,20,548.4635416666666,134.9453125
302,1,394,255,179,17,26,263.15989847715736,190.62182741116752
303,1,423,255,178,18,27,263.612293144208,190.01182033096927
304,1,428,255,178,19,26,263.47196261682245,190.09345794392524
305,1,615,255,173,32,30,267.4926829268293,188.99349593495936
306,1,507,256,170,21,34,265.9368836291913,186.4457593688363
307,1,530,255,170,23,34,265.5641509433962,186.72264150943397
308,1,518,256,165,23,37,266.75096525096524,184.8050193050193
309,1,506,256,181,33,21,269.97628458498025,190.78853754940712
310,1,622,255,170,34,32,268.9726688102894,186.46623794212218
311,1,503,255,181,34,23,268.7972166998012,190.1292246520875
312,1,497,256,182,33,22,269.7122736418511,190.80080482897384
313,1,610,257,170,32,34,269.1967213114754,187.17377049180328
314,1,511,255,181,34,23,268.2994129158513,190.54207436399219
315,1,484,255,183,34,22,268.7830578512397,191.1797520661157
316,1,613,255,169,29,35,267.68515497553017,187.51386623164763
317,1,397,256,183,28,21,268.43828715365237,191.28211586901764
318,1,518,256,170,24,34,266.75868725868725,187.3880308880309
319,1,390,256,183,33,18,269.4230769230769,190.01538461538462
320,1,391,256,182,31,19,268.73657289002557,189.68286445012788
323,1,369,257,182,23,22,266.54742547425474,191.50948509485096
324,1,470,258,169,23,32,268.02127659574467,185.7659574468085
325,1,552,256,169,33,32,269.1630434782609,185.95652173913044
326,1,413,256,170,23,29,266.7215496368039,184.8716707021792
327,1,367,258,170,21,27,267.41689373297004,184.0326975476839
962,1,452,94,175,37,24,110.12389380530973,185.37610619469027
963,1,496,94,173,42,25,113.9133064516129,184.05645161290323
964,1,626,94,171,43,25,115.92012779552715,182.70447284345047
965,1,744,93,174,58,30,119.81048387096774,185.56586021505376
966,1,768,92,170,60,32,119.57942708333333,183.86458333333334
967,1,802,92,169,53,27,119.78802992518703,182.76184538653368
968,1,1011,92,168,59,34,121.5242334322453,184.01879327398615
969,1,931,91,168,61,33,120.88614393125671,184.0719656283566
970,1,835,92,168,53,28,119.59401197604791,182.52574850299402
971,1,851,92,168,53,28,120.05875440658049,182.0834312573443
972,1,1000,98,167,53,35,124.913,183.784
